group_id	TEST_NAME	UNIT	n	p_missing	deciles	LongName	prefix_meaning	suffix_meaning	group_path
2	-parainfluenssa1-virus,nukleiinihappo		691	100					1.1.2.1
2	-parainfluenssa1virus,nukleiinihappo(kval)		231	100					1.1.2.1
2	-parainfluenssa2virus,nukleiinihappo(kval)		231	100					1.1.2.1
2	-parainfluenssa3virus,nukleiinihappo(kval)		231	100					1.1.2.1
2	-parainfluenssa4virus,nukleiinihappo(kval)		231	100					1.1.2.1
2	-parainfluenssavirus4,nukleiinihappo(kval)		691	100					1.1.2.1
2	-parinfluenssa2-virus,nukleiinihappo		691	100					1.1.2.1
2	-parinfluenssa3-virus,nukleiinihappo		690	100					1.1.2.1
2	covid-19-koronavirustauti,nhovtm10,vieritutkimus		271	100					1.1.2.1
2	covid-19-koronavirustauti,nuk		268	100					1.1.2.1
2	covid-19-koronavirustauti,nukleiinihappo		1940	100					1.1.2.1
2	covid-19-koronavirustauti,nukleiinihappo(kval)		1271	100					1.1.2.1
2	covid-19-koronavirustauti,nukleiinihappo,osatutkimus		938	100					1.1.2.1
2	covid-19-koronavirustauti,poistettukäytöstä1.11.2023		293	100					1.1.2.1
2	covid-19koronavirus,2019-ncov,pcr-tutkimus		5798	100					1.1.2.1
2	influenssaa,b,rsv,sars-cov-2,		1345	100					1.1.2.1
2	influenssaa,b,rsv,sars-cov-2,(kval),hoitoyks.vieritesti		529	100					1.1.2.1
2	influenssaa,b,rsv,sars-cov-2,(kval)hoitoyks.vieritesti		296	100					1.1.2.1
2	influenssaa,b,rsvjacovid-19nukleiinihappo(kval)		274	100					1.1.2.1
2	influenssaa-virus,nukleiinih		435	100					1.1.2.1
2	influenssaa-virus,nukleiinihappo(kval)		4276	100					1.1.2.1
2	influenssaajab,cv19jarsvantigeeni(kval)		178	100					1.1.2.1
2	influenssaajabjarsvjacovid-19nukleiinihappo(kval)		217	100					1.1.2.1
2	influenssaavirus,nukleiinih		1347	100					1.1.2.1
2	influenssaavirus,nukleiinihappo		292	100					1.1.2.1
2	influenssaavirus,nukleiinihappo(kval)		1196	100					1.1.2.1
2	influenssab-virus,nukleiinih		281	100					1.1.2.1
2	influenssab-virus,nukleiinihappo(kval)		2575	100					1.1.2.1
2	influenssabvirus,nukeliinihappo(kval)		537	100					1.1.2.1
2	influenssabvirus,nukleiinih		1341	100					1.1.2.1
2	influenssabvirus,nukleiinihappo		292	100					1.1.2.1
2	li-varicella-zostervirus,nukleiinihappo(kval)		122	100			Cerebrospinal fluid		1.1.2.1
2	parainfluenssavirus,nukleiini		544	100					1.1.2.1
2	parainfluenssavirus,nukleiinihappo(kval)		209	100					1.1.2.1
2	s-covid-19-koronavirustauti,iga-vasta-aineet		2502	100			Serum		1.1.2.1
2	s-covid-19-koronavirustauti,igg-vasta-aineet		2516	100			Serum		1.1.2.1
2	sars-cov-2,influenssaa,bjarsv,nukleiinihappo(kval)		732	100					1.1.2.1
2	sars-cov-2influenssaa,bjarsvnukleiinihappo(kval)		508	100					1.1.2.1
3	-adenovirus,nukleiinihaponosoitus		154	100					1.1.2.2.1
3	-bordetellapertussis,nukleiinihappo(kval),osatutkimus		231	100					1.1.2.2.1
3	-influenssaa-virus,nukleiinihappo(kval)sis.h7n9)		224	100					1.1.2.2.1
3	-influenssaavirus,nukleiinihaponosoitus		374	100					1.1.2.2.1
3	-influenssavirusb,nukleiinihaponositus(kval)		374	100					1.1.2.2.1
3	-koronavirus229e,nukleiinihaponosoitus		618	100					1.1.2.2.1
3	-koronavirusnl63,nukleiinihaponosoitus		618	100					1.1.2.2.1
3	-koronavirusoc43,nukleiinihaponosoitus		618	100					1.1.2.2.1
3	-metapneumovirus,nukleiinihaponosoitus		618	100					1.1.2.2.1
3	-mycoplasmagenitalium,nukleiinihappo(kval),refleksinäherkkyysmääritys		139	100					1.1.2.2.1
3	-parainfluenssa1virus,nukleiinihaponosoittaminen(kval)		618	100					1.1.2.2.1
3	-parainfluenssa2virus,nukleiinihaponosoittaminen(kval)		618	100					1.1.2.2.1
3	-parainfluenssa3virus,nukleiinihaponosoittaminen(kval)		618	100					1.1.2.2.1
3	-parainfluenssa4virus,nukleiinihaponosoitus		618	100					1.1.2.2.1
3	-respiratorisetvirukset,nukleiinihaponosoittaminen(kval)		656	100					1.1.2.2.1
3	-respiratorisetviruksetjabakteerit,nukleiinihappo		607	100					1.1.2.2.1
3	-respiratorysyncytialavirus,nukleiinihaponosoittaminen(kval)		602	100					1.1.2.2.1
3	-respiratorysyncytialavirus,nukleiinihappo		117	100					1.1.2.2.1
3	-respiratorysyncytialbvirus,nukleiinihaponosoittaminen(kval)		602	100					1.1.2.2.1
3	-respiratorysyncytialbvirus,nukleiinihappo		117	100					1.1.2.2.1
3	adenovirus,nukleiinihaponosoittaminen(kval),ulosteesta		221	100					1.1.2.2.1
3	adenovirus,nukleiinihaponosoitus		160	100					1.1.2.2.1
3	adenovirus,nukleiinihappoosoitus		603	100					1.1.2.2.1
3	astrovirus,nukleiinihaponosoittaminen(kval),ulosteesta		221	100					1.1.2.2.1
3	coronavirus229e,nukleiinihappoosoitus		603	100					1.1.2.2.1
3	coronavirushku1,nukleiinihappoosoitus		603	100					1.1.2.2.1
3	coronavirusnl63,nukleiinihappoosoitus		603	100					1.1.2.2.1
3	coronavirusoc43,nukleiinihappoosoitus		603	100					1.1.2.2.1
3	covid-19,influenssaajab,rs-virus,nukleiinihaponosoitus		3282	100					1.1.2.2.1
3	cryptococcusneoformans,nukleiinihappo(kval),likvori		130	100					1.1.2.2.1
3	enterovirus,nukleiinihappo(kval),likvori		130	100					1.1.2.2.1
3	f-bakteeripatogeenit,nukleiinihaponosoitus(pcr)		690	100			Feces		1.1.2.2.1
3	f-ulosteenbakteeripatogeenit,nukleiinihaponosoitus		705	100			Feces		1.1.2.2.1
3	herpessimplex-virus1,nukleiinihappo(kval),likvori		130	100					1.1.2.2.1
3	herpessimplex-virus2,nukleiinihappo(kval),likvori		130	100					1.1.2.2.1
3	influenssaa,nukleiinihaponosoitus(kval)		332	100					1.1.2.2.1
3	influenssaavirus,nukleiinihappo(kval),osatutk.		293	100					1.1.2.2.1
3	influenssab-virus,nukleiinihappo(kval),osatutkimus		261	100					1.1.2.2.1
3	influenzaavirus,nukleiinihappoosoitus		891	100					1.1.2.2.1
3	influenzabvirus,nukleiinihappoosoitus		891	100					1.1.2.2.1
3	inluenssab-virus,nukleiinihaponosoittaminen,osatutk.8340		294	100					1.1.2.2.1
3	koronavirushku1,nukleiinihaponosoitus(pcr)		292	100					1.1.2.2.1
3	listeriamonocytogenes,nukleiinihappo(kval),likvori		130	100					1.1.2.2.1
3	mers-koronavirus,nukleiinihaponosoitus(pcr)		293	100					1.1.2.2.1
3	metapneumovirus,nukleiinihaponosoitus␤		302	100					1.1.2.2.1
3	metapneumovirus,nukleiinihappoosoitus		603	100					1.1.2.2.1
3	mikrobit,nukleiinihappo(kval),likvori		197	100					1.1.2.2.1
3	neisseriameningitidis,nukleiinihappo(kval),likvori		130	100					1.1.2.2.1
3	norovirus,nukleiinihaponosoittaminen(kval),ulosteesta␤		263	100					1.1.2.2.1
3	np-rino-entero-rs-virus,nukleiinihaponosoitus(kval)		154	100					1.1.2.2.1
3	parainfluenza1,nukleiinihappoosoitus		603	100					1.1.2.2.1
3	parainfluenza2,nukleiinihappoosoitus		603	100					1.1.2.2.1
3	parainfluenzavirus3,nukleiinihappoosoitus		603	100					1.1.2.2.1
3	parechovirus,nukleiinihappo(kval),likvori		130	100					1.1.2.2.1
3	respiratorisetbakteerit,nukleiinihaponosoitus(pcr)		429	100					1.1.2.2.1
3	respiratorisetviruksetjabakteerit,nukleiinihaponosoitus		292	100					1.1.2.2.1
3	respiratoristenbakteereidennukleiinihaponosoitus		101	100					1.1.2.2.1
3	respiratorysyncytialvirus,nukleiinihaponosoitu		249	100					1.1.2.2.1
3	respiratorysyncytialvirus,nukleiinihaponosoitusosatutkimus		293	100					1.1.2.2.1
3	respiratorysyncyticalvirus,nukleiinihappoosoitus		891	100					1.1.2.2.1
3	rinovirus/enterovirus,nukleiinihaponosoitus(pcr)		292	100					1.1.2.2.1
3	rs-virus,nukleiinihappo(kval)␤,osatutkimus		412	100					1.1.2.2.1
3	sapovirus,nukleiinihaponosoittaminen(kval),ulosteesta		221	100					1.1.2.2.1
3	ulosteenbakteeripatogeenit,nukleiinihaponosoitus(pcr)		2127	100					1.1.2.2.1
3	ulosteenbakteeripatogeenit,nukleiinihaponosoitus(pcr)␤		482	100					1.1.2.2.1
3	ulosteenripulivirukset,nukleiinihaponosoittaminen(kval)		442	100					1.1.2.2.1
3	ulosteenripulivirukset,nukleiinihappo-osoitus(kval)		984	100					1.1.2.2.1
3	vesirokkovirus,nukleiinihappo(kval),likvori		130	100					1.1.2.2.1
4	clostridiumdifficile,toksiinigeeni,nukleiinihappo		627	100					1.1.2.2.2.1
4	clostridiumdifficile,toksiinigeeni,nukleiinihappo(kval)		260	100					1.1.2.2.2.1
4	clostridiumdifficile,toksiinigeeni,nukleiinihappo(kval),␤ulosteesta		517	100					1.1.2.2.2.1
4	f-clostridioidesdifficile,nukleiinihappo(kval)		526	100			Feces		1.1.2.2.2.1
4	f-clostridiumdifficile,nukleiinihappo(kval),kiireellisenä		120	100			Feces		1.1.2.2.2.1
4	f-clostridiumdifficile,toksiinigeeni,nu.h(kval		229	100			Feces		1.1.2.2.2.1
4	f-clostridiumdifficile,toksiinigeeni,nukleiinihappo(kval)		440	100			Feces		1.1.2.2.2.1
4	f-cryptosporidium(c.parvumjac.hominis),nukleiinihappo-osoitus		199	100			Feces		1.1.2.2.2.1
4	f-cryptosporidiumparvum/c.hominis,nukl.happo		269	100			Feces		1.1.2.2.2.1
4	f-cryptosporidiumspp.(c.parvum/c.hominis)nukl.hapososoitus		182	100			Feces		1.1.2.2.2.1
4	f-vibriospp.(vulnificus/parahaemolyticus/cholerae)nukl.haponos		607	100			Feces		1.1.2.2.2.1
4	vibriospp.(vulnificus/parahaemolyticus/cholerae)		1714	100					1.1.2.2.2.1
5	-bordetellaparapertussis,nukleiinihappo		549	100					1.1.2.2.2.2.1
5	-bordetellapertussis,nukleiinihappo(kval)		368	100					1.1.2.2.2.2.1
5	-chlamydiapneumoniae,nukleiinihappo(kval)		414	100					1.1.2.2.2.2.1
5	-dermatofyytti(silsasieni),nukleiinihappo		101	100					1.1.2.2.2.2.1
5	-humaanimetapneumovirus,nukleiinihappo(kval)		243	100					1.1.2.2.2.2.1
5	-legionellapneumophila,nukleiinihappo(kval)		105	100					1.1.2.2.2.2.1
5	-metapneumovirus,nukleiinihappo(kval)		785	100					1.1.2.2.2.2.1
5	-mycoplasmapneumoniae,nukleiinihappo(kval)		361	100					1.1.2.2.2.2.1
5	-respiratorisetmikrobit,nukleiinihappo		643	100					1.1.2.2.2.2.1
5	bordetellaparapertussis,nukleiinihappo(kval)		376	100					1.1.2.2.2.2.1
5	bordetellaparapertussis,nukleiinihappoosoitus		603	100					1.1.2.2.2.2.1
5	bordetellaparapertussisnukle		565	100					1.1.2.2.2.2.1
5	bordetellaparapertussisnukleiinihappo(kval)		177	100					1.1.2.2.2.2.1
5	bordetellapertussis,nukleiin		109	100					1.1.2.2.2.2.1
5	bordetellapertussis,nukleiinihaponosoit.(kval)		318	100					1.1.2.2.2.2.1
5	bordetellapertussis,nukleiinihappo,(kval)		155	100					1.1.2.2.2.2.1
5	bordetellapertussis,nukleiinihappoosoitus		603	100					1.1.2.2.2.2.1
