concept_id,omop_quantity
3008058,Electrical Potential (Voltage)
3014901,Electrical Potential (Voltage)
3015432,Electrical Potential (Voltage)
3008881,Electrical Potential (Voltage)
3007593,Electrical Potential (Voltage)
3007047,Electrical Potential (Voltage)
3008969,Electrical Potential (Voltage)
3015565,Electrical Potential (Voltage)
3019220,Presence or Threshold
3016094,Electrical Potential (Voltage)
3016315,Electrical Potential (Voltage)
3008291,Electrical Potential (Voltage)
3007252,Electrical Potential (Voltage)
1762083,-
3006151,Electrical Potential (Voltage)
1762081,-
1762082,-
1762080,-
1762078,-
1762079,-
1762076,-
1762077,-
1762074,-
1762075,-
1762073,-
1762072,-
1762070,-
1762071,-
1762069,-
3026773,Electrical Potential (Voltage)
3027921,Electrical Potential (Voltage)
3028763,Electrical Potential (Voltage)
1762068,-
1762067,-
3019214,Presence or Threshold
3004048,Electrical Potential (Voltage)
3006851,Electrical Potential (Voltage)
3005802,Electrical Potential (Voltage)
3027447,Electrical Potential (Voltage)
3023934,Electrical Potential (Voltage)
3024463,Electrical Potential (Voltage)
3025057,Electrical Potential (Voltage)
3011589,Electrical Potential (Voltage)
3026125,Electrical Potential (Voltage)
3012338,Electrical Potential (Voltage)
3024851,Electrical Potential (Voltage)
3025134,Electrical Potential (Voltage)
3025973,Electrical Potential (Voltage)
3012204,Electrical Potential (Voltage)
3004504,Presence or Threshold
3027460,Susceptibility (microorganisms)
3003405,Presence or Threshold
3002243,Presence or Threshold
3001981,Presence or Threshold
3037482,Finding
3038024,Finding
3021169,Finding
3012117,Finding
3015067,Finding
3008666,Finding
3016757,Finding
3017301,Finding
3020653,Presence or Threshold
3017820,Finding
3009502,Finding
3014407,Finding
3009087,Finding
3015858,Finding
3016391,Finding
3016925,Finding
3004000,Finding
3020401,Presence or Threshold
3007313,Finding
3006213,Finding
3027082,Finding
3017288,Finding
3017582,Finding
3004105,Finding
3005480,Presence or Threshold
3004380,Presence or Threshold
3012502,Identifier
3027316,Substance Concentration
3013291,Presence or Identity
