concept_id	concept_code	concept_name	vocabulary_id	is_panel	has_component	has_property	has_method	has_scale_type	has_system	has_time_aspect
507420	1061791000000101	Musculoskeletal TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507421	1061801000000102	Neurological Disorders TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507422	1061831000000108	Neurological Disorders TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507423	1061841000000104	Neurological Disorders TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507424	1061851000000101	Palliative Care TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507425	1061861000000103	Palliative Care TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507426	1061871000000105	Palliative Care TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507427	1061881000000107	Palliative Care TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507428	1061891000000109	Palliative Care TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507429	1061911000000107	Phonological Disorder TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507430	1061921000000101	Phonological Disorder TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507431	1061931000000104	Phonological Disorder TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507432	1061941000000108	Phonological Disorder TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507433	1061951000000106	Podiatric Conditions TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507434	1061961000000109	Podiatric Conditions TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507435	1061971000000102	Podiatric Conditions TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507436	1061981000000100	Podiatric Conditions TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507437	1061991000000103	Podiatric Conditions TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507438	1062001000000100	Postnatal Depression TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507439	1062021000000109	Postnatal Depression TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507440	1062031000000106	Postnatal Depression TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507441	1062041000000102	Postnatal Depression TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507442	1062051000000104	Respiratory Care for Chronic Obstructive Pulmonary Disease TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507443	1062061000000101	Respiratory Care for Chronic Obstructive Pulmonary Disease TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507444	1062071000000108	Respiratory Care for Chronic Obstructive Pulmonary Disease TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507445	1062081000000105	Respiratory Care for Chronic Obstructive Pulmonary Disease TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507446	1062101000000104	Schizophrenia TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507447	1062111000000102	Schizophrenia TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507448	1062121000000108	Schizophrenia TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507449	1062131000000105	Schizophrenia TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507450	1062141000000101	Schizophrenia TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507451	1062151000000103	Stroke TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507452	1062161000000100	Stroke TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507453	1062171000000107	Stroke TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507454	1062181000000109	Stroke TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507455	1062191000000106	Stroke TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507456	1062201000000108	Tracheostomy TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507457	1062211000000105	Tracheostomy TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507458	1062231000000102	Tracheostomy TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507459	1062241000000106	Tracheostomy TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507460	1062251000000109	Wound Care TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507461	1062271000000100	Wound Care TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507462	1062281000000103	Wound Care TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
